TAHUN_DIBUAT,NAMA_MODEL_YANG_SEBENAR,COUNT_NAMA_MODEL_YANG_SEBENAR
2023,AXIA,51211
2006,B170,305
2008,B170,316
2009,B180,171
2010,B180,312
2011,B180,646
2016,B180,4
2017,B180,8
2018,B180,2
2019,B180,6
2013,B200,1
2014,B200,26
2015,B200,114
1996,B2200,26
2006,BB,5
2009,BB,5
1965,BEETLE,2
1968,BEETLE,2
1999,BEETLE,27
2000,BEETLE,69
2002,BEETLE,33
2007,BEETLE,97
2008,BEETLE,105
2009,BEETLE,65
2010,BEETLE,11
2011,BEETLE,1
2012,BEETLE,688
2013,BEETLE,2151
2014,BEETLE,1157
2015,BEETLE,287
2016,BEETLE,40
2017,BEETLE,263
2018,BEETLE,511
2019,BEETLE,4
2016,BENTAYGA,23
2017,BENTAYGA,12
2018,BENTAYGA,15
2019,BENTAYGA,5
2020,BENTAYGA,13
2021,BENTAYGA,20
2023,BENTAYGA,5
2016,BEZZA,34468
2017,BEZZA,49514
2018,BEZZA,46299
2019,BEZZA,41911
2020,BEZZA,54864
2021,BEZZA,41756
2022,BEZZA,67552
2023,BEZZA,65805
2014,BIANTE,1359
2016,BIANTE,146
2017,BIANTE,133
1997,BOXSTER,28
2005,BOXSTER,26
2008,BOXSTER,16
2010,BOXSTER,17
2012,BOXSTER,43
2013,BOXSTER,27
2014,BOXSTER,10
2015,BOXSTER,9
2008,BROOKLANDS,1
2017,BR-V,16668
2018,BR-V,10631
2019,BR-V,7104
2020,BR-V,3460
2021,BR-V,3744
2022,BR-V,2355
2012,BRZ,23
2013,BRZ,67
2014,BRZ,45
2016,BRZ,38
2017,BRZ,74
2019,BRZ,16
2020,BRZ,6
2021,BRZ,9
2022,BRZ,33
2023,BRZ,27
1993,C,2
1996,C180,117
2008,C180,713
2010,C180,666
2011,C180,500
2012,C180,420
2013,C180,255
2014,C180,332
2015,C180,330
2016,C180,275
2017,C180,352
2018,C180,423
2019,C180,98
2020,C180,7
2002,C180K,16
2003,C180K,62
