"KUMPULAN_PENDAPATAN","BUATAN","NAMA_MODEL_YANG_SEBENAR","Count(NO_IR)"
"T1","PERODUA","KEMBARA",1580
"T1","PERODUA","KENARI",4425
"T1","PERODUA","MYVI",54016
"T1","PERODUA","RUSA",216
"T1","PERODUA","VIVA",14537
"T1","PEUGEOT","2008",130
"T1","PEUGEOT","207",107
"T1","PEUGEOT","208",268
"T1","PEUGEOT","3008",500
"T1","PEUGEOT","306",6
"T1","PEUGEOT","308",166
"T1","PEUGEOT","407",55
"T1","PEUGEOT","408",292
"T1","PEUGEOT","5008",127
"T1","PEUGEOT","508",154
"T1","PEUGEOT","LANDTREK",2
"T1","PEUGEOT","RCZ",23
"T1","PEUGEOT","TRAVELLER",9
"T1","PORSCHE","718",54
"T1","PORSCHE","911",61
"T1","PORSCHE","944",1
"T1","PORSCHE","BOXSTER",9
"T1","PORSCHE","CAYENNE",206
"T1","PORSCHE","CAYMAN",57
"T1","PORSCHE","MACAN",156
"T1","PORSCHE","PANAMERA",50
"T1","PROTON","ARENA",145
"T1","PROTON","ERTIGA",745
"T1","PROTON","EXORA",8753
"T1","PROTON","GEN-2",1
"T1","PROTON","GEN2",189
"T1","PROTON","INSPIRA",954
"T1","PROTON","IRIZ",3386
"T1","PROTON","ISWARA",2855
"T1","PROTON","JUARA",53
"T1","PROTON","KANCIL",12
"T1","PROTON","KENARI",1
"T1","PROTON","PERDANA",1113
"T1","PROTON","PERSONA",12210
"T1","PROTON","PREVE",2373
"T1","PROTON","PUTRA",7
"T1","PROTON","RUSA",1
"T1","PROTON","SAGA",22326
"T1","PROTON","SATRIA",1524
"T1","PROTON","SAVVY",132
"T1","PROTON","TIARA",3
"T1","PROTON","UNSER",1
"T1","PROTON","WAJA",5668
"T1","PROTON","WIRA",13989
"T1","PROTON","X50",5659
"T1","PROTON","X70",6368
"T1","PROTON","X90",340
"T1","RENAULT","CAPTUR",151
"T1","RENAULT","CLIO",11
"T1","RENAULT","FLUENCE",48
"T1","RENAULT","KANGOO",21
"T1","RENAULT","KOLEOS",16
"T1","RENAULT","MEGANE",7
"T1","ROLLS ROYCE","GHOST",4
"T1","ROLLS ROYCE","WRAITH",2
"T1","ROVER","DEFENDER",1
"T1","SMART","CITY",9
"T1","SMART","FORFOUR",12
"T1","SMART","FORTWO",13
"T1","SMART","ROADSTER",2
"T1","SSANGYONG","ACTYON",3
"T1","SSANGYONG","STAVIC",18
"T1","SUBARU","BRZ",27
"T1","SUBARU","FORESTER",786
"T1","SUBARU","IMPREZA",40
"T1","SUBARU","LEGACY",2
"T1","SUBARU","LEVORG",4
"T1","SUBARU","WRX",3
"T1","SUBARU","XV",868
"T1","SUZUKI","ALTO",138
"T1","SUZUKI","APV",17
"T1","SUZUKI","JIMNY",135
"T1","SUZUKI","KIZASHI",11
"T1","SUZUKI","SJ410VR",4
"T1","SUZUKI","SWIFT",2094
"T1","SUZUKI","SX4",208
"T1","SUZUKI","VITARA",172
"T1","TOYOTA","86",124
"T1","TOYOTA","ALPHARD",4089
"T1","TOYOTA","AVANZA",7088
"T1","TOYOTA","BB",1
"T1","TOYOTA","C-HR",505
"T1","TOYOTA","CALDINA",156
"T1","TOYOTA","CAMRY",6442
"T1","TOYOTA","CELICA",17
"T1","TOYOTA","COROLLA",1287
"T1","TOYOTA","CORONA",12
"T1","TOYOTA","CROWN",3
"T1","TOYOTA","DYNA",2
"T1","TOYOTA","ESQUIRE",3
"T1","TOYOTA","ESTIMA",4744
"T1","TOYOTA","FORTUNER",1970
"T1","TOYOTA","GR86",4
"T1","TOYOTA","GRANACE",2
"T1","TOYOTA","HARRIER",2676
"T1","TOYOTA","HIACE",429
"T1","TOYOTA","HILUX",13110
"T1","TOYOTA","INNOVA",5103
"T1","TOYOTA","IPSUM",11
"T1","TOYOTA","IS250",1
"T1","TOYOTA","LITEACE",115
"T1","TOYOTA","NADIA",4
"T1","TOYOTA","NOAH",44
"T1","TOYOTA","PREVIA",35
"T1","TOYOTA","PRIUS",787
"T1","TOYOTA","RAV4",115
"T1","TOYOTA","ROOMY",2
"T1","TOYOTA","RUSH",1480
"T1","TOYOTA","RX270",2
"T1","TOYOTA","RX350",1
"T1","TOYOTA","SIENTA",419
"T1","TOYOTA","SPACIO",5
"T1","TOYOTA","SUPRA",14
"T1","TOYOTA","TANK",11
"T1","TOYOTA","UNSER",1824
"T1","TOYOTA","VANGUARD",12
"T1","TOYOTA","VELLFIRE",5394
"T1","TOYOTA","VELOZ",676
"T1","TOYOTA","VIOS",23823
"T1","TOYOTA","VITZ",1
"T1","TOYOTA","VOXY",385
"T1","TOYOTA","WALD",156
"T1","TOYOTA","WISH",3980
"T1","TOYOTA","YARIS",3401
"T1","VOLKSWAGEN","ARTEON",75
"T1","VOLKSWAGEN","BEETLE",366
"T1","VOLKSWAGEN","CC",70
"T1","VOLKSWAGEN","EOS",14
"T1","VOLKSWAGEN","GOLF",624
"T1","VOLKSWAGEN","JETTA",431
"T1","VOLKSWAGEN","PASSAT",865
"T1","VOLKSWAGEN","POLO",1182
"T1","VOLKSWAGEN","SCIROCCO",67
"T1","VOLKSWAGEN","SHARAN",44
"T1","VOLKSWAGEN","TIGUAN",941
"T1","VOLKSWAGEN","TOUAREG",13
"T1","VOLKSWAGEN","TOURAN",80
"T1","VOLKSWAGEN","VENTO",301
"T1","VOLKSWAGEN","WALD",17
"T1","VOLVO","740",2
"T1","VOLVO","850",4
"T1","VOLVO","940",2
"T1","VOLVO","S40",73
"T1","VOLVO","S60",92
"T1","VOLVO","S70",1
"T1","VOLVO","S80",19
"T1","VOLVO","S90",30
"T1","VOLVO","V40",71
"T1","VOLVO","V50",2
"T1","VOLVO","V60",19
"T1","VOLVO","XC40",213
"T1","VOLVO","XC60",226
"T1","VOLVO","XC90",190
"T1","WESTSTAR MAXUS","G10",75
"T1","WESTSTAR MAXUS","MAXUS",3
"T1","WESTSTAR MAXUS","T60",3
"T2","","C200",1
"T2","","CLA180",1
"T2","","COOPER",6
"T2","","GLC200",1
"T2","","HARRIER",1
"T2","","KANCIL",57
"T2","","KELISA",2
"T2","","KEMBARA",2
"T2","","ROCSTA",21
"T2","","RUSA",5
"T2","","RX200T",2
"T2","","SEPHIA",43
"T2","ALFA ROMEO","147",2
"T2","ALFA ROMEO","155",1
"T2","ALFA ROMEO","4C",1
"T2","ALFA ROMEO","GIULIA",4
"T2","ASIA","ROCSTA",4
"T2","AUDI","200",1
"T2","AUDI","A1",22
"T2","AUDI","A3",206
"T2","AUDI","A4",874
"T2","AUDI","A5",502
"T2","AUDI","A6",512
"T2","AUDI","A7",96
"T2","AUDI","A8",17
"T2","AUDI","A8L",15
"T2","AUDI","ESTIMA",1
"T2","AUDI","Q3",298
"T2","AUDI","Q5",765
"T2","AUDI","Q7",431
"T2","AUDI","Q8",31
"T2","AUDI","R8",61
"T2","AUDI","RS3",32
"T2","AUDI","RS5",2
"T2","AUDI","RS6",23
"T2","AUDI","RS7",4
"T2","AUDI","S3",8
"T2","AUDI","S4",18
"T2","AUDI","S5",63
"T2","AUDI","S6",3
"T2","AUDI","S7",5
"T2","AUDI","SQ5",2
"T2","AUDI","TT",673
"T2","AUDI","TTRS",1
"T2","AUDI","TTS",6
"T2","AUDI","VELLFIRE",1
"T2","AUDI","WALD",4
"T2","AUSTIN MORRIS","MORRIS",8
"T2","AVELING BARFORD","ODYSSEY",1
"T2","AVELING BARFORD","VELLFIRE",1
"T2","BENTLEY","A5",1
"T2","BENTLEY","BENTAYGA",48
"T2","BENTLEY","BROOKLANDS",1
"T2","BENTLEY","CONTINENTAL",107
"T2","BENTLEY","MULSANNE",4
"T2","BISON","SAVANNA",6
"T2","BMW","116I",58
"T2","BMW","118I",469
"T2","BMW","120I",102
"T2","BMW","218I",1076
"T2","BMW","220I",67
"T2","BMW","316I",558
"T2","BMW","318CI",2
"T2","BMW","318I",1526
"T2","BMW","320D",486
"T2","BMW","320I",4468
"T2","BMW","323I",328
"T2","BMW","325I",486
"T2","BMW","328I",1001
"T2","BMW","330CI",9
"T2","BMW","330E",1849
"T2","BMW","330I",1346
"T2","BMW","330LI",189
"T2","BMW","335I",31
"T2","BMW","420I",83
"T2","BMW","428I",135
"T2","BMW","430I",96
"T2","BMW","5",3
"T2","BMW","520D",424
"T2","BMW","520I",1454
"T2","BMW","523D",6
"T2","BMW","523I",1121
"T2","BMW","525I",782
"T2","BMW","528I",1321
"T2","BMW","530E",1487
"T2","BMW","530I",2074
"T2","BMW","535I",134
"T2","BMW","540I",1
"T2","BMW","6",2
"T2","BMW","630I",272
"T2","BMW","640I",56
"T2","BMW","645CI",10
"T2","BMW","728I",8
"T2","BMW","730LD",15
"T2","BMW","730LI",345
"T2","BMW","740I",5
"T2","BMW","740LE",281
"T2","BMW","740LI",98
"T2","BMW","750E",13
"T2","BMW","750I",8
"T2","BMW","750LI",3
"T2","BMW","760LI",2
"T2","BMW","840I",26
"T2","BMW","CLUBMAN",14
"T2","BMW","COOPER",396
"T2","BMW","COUNTRYMAN",7
"T2","BMW","CROSSOVER",5
"T2","BMW","I8",40
"T2","BMW","M135I",18
"T2","BMW","M2",68
"T2","BMW","M235I",1
"T2","BMW","M3",65
"T2","BMW","M340I",240
"T2","BMW","M4",142
"T2","BMW","M5",57
"T2","BMW","M6",10
"T2","BMW","M8",4
"T2","BMW","M850I",10
"T2","BMW","ONE",8
"T2","BMW","X1",3071
"T2","BMW","X2",57
"T2","BMW","X3",2561
"T2","BMW","X4",1346
"T2","BMW","X5",3734
"T2","BMW","X6",553
"T2","BMW","X7",82
"T2","BMW","XM",5
"T2","BMW","Z3",24
"T2","BMW","Z4",248
"T2","CADILLAC","ESCALADE",3
"T2","CAM","KINGO",1
"T2","CHERY","EASTAR",178
"T2","CHEVROLET","AVEO",398
"T2","CHEVROLET","CAMARO",2
"T2","CHEVROLET","CAPTIVA",143
"T2","CHEVROLET","COLORADO",280
"T2","CHEVROLET","CORVETTE",1
"T2","CHEVROLET","CRUZE",226
"T2","CHEVROLET","MALIBU",46
"T2","CHEVROLET","OPTRA",176
"T2","CHEVROLET","ORLANDO",75
"T2","CHEVROLET","SONIC",41
"T2","CHRYSLER","WRANGLER",6
"T2","CITROEN","C4",8
"T2","CITROEN","C5",3
"T2","CITROEN","DS3",38
"T2","CITROEN","DS5",11
"T2","DAIHATSU","DELTA",8
"T2","DAIHATSU","FEROZA",32
"T2","DAIHATSU","TAFT",26
"T2","DAIHATSU","V58R-HS",1
"T2","DODGE","CHALLENGER",1
"T2","DODGE/COMMER","CHALLENGER",2
"T2","DODGE/COMMER","NITRO",1
"T2","FERRARI","360",5
"T2","FERRARI","CALIFORNIA",7
"T2","FERRARI","F430",85
"T2","FERRARI","FF",1
"T2","FERRARI","PORTOFINO",8
"T2","FERRARI","ROMA",3
"T2","FIAT","500",4
"T2","FIAT","SWIFT",2
"T2","FORD","ECONOVAN",8
"T2","FORD","ECOSPORT",239
"T2","FORD","ESCAPE",157
"T2","FORD","EVEREST",96
"T2","FORD","FIESTA",1905
"T2","FORD","FOCUS",789
"T2","FORD","KUGA",305
"T2","FORD","LASER",29
"T2","FORD","MONDEO",35
"T2","FORD","MUSTANG",518
"T2","FORD","RANGER",10707
"T2","FORD","S-MAX",14
"T2","FORD","TRANSIT",5
"T2","FOTON","VIEW",80
"T2","GOLDEN DRAGON","X5",5
"T2","GREAT WALL","H1",35
"T2","GREAT WALL","M4",235
"T2","HICOM","ATOS",1
"T2","HICOM","MTB150DX",1
"T2","HICOM","MTB150DXL",1
"T2","HONDA","ACCORD",13153
"T2","HONDA","BR-V",6549
"T2","HONDA","CITY",46219
"T2","HONDA","CIVIC",24631
"T2","HONDA","CR-V",25995
"T2","HONDA","CR-Z",741
"T2","HONDA","CROSSROAD",5
"T2","HONDA","CRX",11
"T2","HONDA","EDIX",2
"T2","HONDA","ELYSION",133
"T2","HONDA","FIT",13
"T2","HONDA","FREED",466
"T2","HONDA","HR-V",23240
"T2","HONDA","INSIGHT",1121
"T2","HONDA","INTEGRA",50
"T2","HONDA","JADE",46
"T2","HONDA","JAZZ",15915
"T2","HONDA","N-BOX",14
"T2","HONDA","NSX",3
"T2","HONDA","ODYSSEY",2340
"T2","HONDA","S2000",17
"T2","HONDA","S660",37
"T2","HONDA","STREAM",1914
"T2","HONDA","WALD",73
"T2","HONDA","WR-V",1111
"T2","HUMMER","H2",1
"T2","HUMMER","H3",22
"T2","HYUNDAI","ACCENT",509
"T2","HYUNDAI","ATOS",2
"T2","HYUNDAI","CRETA",3
"T2","HYUNDAI","ELANTRA",646
"T2","HYUNDAI","GENESIS",1
"T2","HYUNDAI","GETZ",1022
"T2","HYUNDAI","I10",28
"T2","HYUNDAI","I30",15
"T2","HYUNDAI","I40",77
"T2","HYUNDAI","IONIQ",482
"T2","HYUNDAI","KONA",128
"T2","HYUNDAI","MATRIX",186
"T2","HYUNDAI","PALISADE",6
"T2","HYUNDAI","SONATA",1137
"T2","HYUNDAI","STARIA",159
"T2","HYUNDAI","TRAJET",85
"T2","HYUNDAI","TUCSON",1483
"T2","HYUNDAI","VELOSTER",106
"T2","INFINITI","EX25",3
"T2","INFINITI","FX37",4
"T2","INFINITI","M25",9
"T2","INFINITI","Q50",45
"T2","INFINITI","QX70",5
"T2","INOKOM CORPORATION SDN. BHD.","ATOS",1818
"T2","INOKOM CORPORATION SDN. BHD.","ELANTRA",1459
"T2","INOKOM CORPORATION SDN. BHD.","GETZ",413
"T2","INOKOM CORPORATION SDN. BHD.","I10",739
"T2","INOKOM CORPORATION SDN. BHD.","MATRIX",1158
"T2","ISUZU","D-MAX",2
"T2","ISUZU","TROOPER",69
"T2","JAGUAR","F-PACE",25
"T2","JAGUAR","F-TYPE",8
"T2","JAGUAR","S-TYPE",6
"T2","JAGUAR","X-TYPE",5
"T2","JAGUAR","XE",7
"T2","JAGUAR","XF",167
"T2","JAGUAR","XJ",61
"T2","JAGUAR","XJ6",28
"T2","JAGUAR","XKR",1
"T2","JCB","3",1
"T2","JEEP","CHEROKEE",1
"T2","JEEP","ROCSTA",1
"T2","JEEP","WRANGLER",115
"T2","KIA","CARNIVAL",2074
"T2","KIA","CERATO",1606
"T2","KIA","CITRA",1
"T2","KIA","FORTE",101
"T2","KIA","OPTIMA",317
"T2","KIA","PICANTO",1213
"T2","KIA","PREGIO",82
"T2","KIA","RIA",2
"T2","KIA","RIO",870
"T2","KIA","ROCSTA",6
"T2","KIA","SEPHIA",2
"T2","KIA","SORENTO",1141
"T2","KIA","SPECTRA",108
"T2","KIA","SPORTAGE",1463
"T2","LAMBORGHINI","AVENTADOR",83
"T2","LAMBORGHINI","GALLARDO",39
"T2","LAMBORGHINI","HURACAN",129
"T2","LAMBORGHINI","URUS",121
"T2","LANCIA","DELTA",1
"T2","LAND ROVER","DEFENDER",334
"T2","LAND ROVER","DISCOVERY",15
"T2","LAND ROVER","FREELANDER",54
"T2","LAND ROVER","RANGER",10
"T2","LEXUS","CT200H",601
"T2","LEXUS","GS200T",1
"T2","LEXUS","GS250",37
"T2","LEXUS","GS300",30
"T2","LEXUS","GS350",10
"T2","LEXUS","IS200T",6
"T2","LEXUS","IS250",171
"T2","LEXUS","IS300",33
"T2","LEXUS","LC500",25
"T2","LEXUS","LS460",6
"T2","LEXUS","LS460L",14
"T2","LEXUS","LS500",9
"T2","LEXUS","LS500H",1
"T2","LEXUS","LX450D",11
"T2","LEXUS","LX500D",1
"T2","LEXUS","LX570",140
"T2","LEXUS","LX600",3
"T2","LEXUS","NX200T",292
"T2","LEXUS","NX300",266
"T2","LEXUS","NX350",8
"T2","LEXUS","RC200T",7
"T2","LEXUS","RC300",3
"T2","LEXUS","RX200T",489
"T2","LEXUS","RX270",381
"T2","LEXUS","RX300",772
"T2","LEXUS","RX350",569
"T2","LEXUS","RX450H",5
"T2","LEXUS","UX200",11
"T2","MASERATI","GHIBLI",112
"T2","MASERATI","GRANTURISMO",12
"T2","MASERATI","LEVANTE",78
"T2","MASERATI","MC20",1
"T2","MASERATI","QUATTROPORTE",13
"T2","MAXUS","V80",1
"T2","MAZDA","2",2475
"T2","MAZDA","3",3559
"T2","MAZDA","323",13
"T2","MAZDA","5",275
"T2","MAZDA","6",1160
"T2","MAZDA","8",371
"T2","MAZDA","AXELA",1
"T2","MAZDA","BIANTE",503
"T2","MAZDA","CX-3",442
"T2","MAZDA","CX-30",2122
"T2","MAZDA","CX-5",6502
"T2","MAZDA","CX-7",73
"T2","MAZDA","CX-8",2712
"T2","MAZDA","CX-9",48
"T2","MAZDA","LANTIS",1
"T2","MAZDA","MX-5",55
"T2","MAZDA","PREMACY",12
"T2","MAZDA","ROADSTER",62
"T2","MAZDA","RX-7",8
"T2","MAZDA","RX-8",88
"T2","MCLAREN","570GT",2
"T2","MCLAREN","570S",17
"T2","MCLAREN","600LT",11
"T2","MCLAREN","650S",5
"T2","MCLAREN","675LT",3
"T2","MCLAREN","720S",17
"T2","MCLAREN","765LT",2
"T2","MCLAREN","GT",2
"T2","MERCEDES BENZ","190E",16
"T2","MERCEDES BENZ","200",58
"T2","MERCEDES BENZ","230E",181
"T2","MERCEDES BENZ","250D",1
"T2","MERCEDES BENZ","260E",36
"T2","MERCEDES BENZ","280S",2
"T2","MERCEDES BENZ","300CE",5
"T2","MERCEDES BENZ","300SL",4
"T2","MERCEDES BENZ","A180",1201
"T2","MERCEDES BENZ","A200",684
"T2","MERCEDES BENZ","A220",2
"T2","MERCEDES BENZ","A250",812
"T2","MERCEDES BENZ","B170",121
"T2","MERCEDES BENZ","B180",243
"T2","MERCEDES BENZ","B200",43
"T2","MERCEDES BENZ","C180",1183
"T2","MERCEDES BENZ","C180-W203",52
"T2","MERCEDES BENZ","C180K",110
"T2","MERCEDES BENZ","C200",3615
"T2","MERCEDES BENZ","C200K",317
"T2","MERCEDES BENZ","C220",43
"T2","MERCEDES BENZ","C230",5
"T2","MERCEDES BENZ","C230K",12
"T2","MERCEDES BENZ","C240",15
"T2","MERCEDES BENZ","C250",408
"T2","MERCEDES BENZ","C300",560
"T2","MERCEDES BENZ","C320",1
"T2","MERCEDES BENZ","CL500",3
"T2","MERCEDES BENZ","CLA180",541
"T2","MERCEDES BENZ","CLA200",246
"T2","MERCEDES BENZ","CLA220",19
"T2","MERCEDES BENZ","CLA250",237
"T2","MERCEDES BENZ","CLC180K",2
"T2","MERCEDES BENZ","CLK200K",19
"T2","MERCEDES BENZ","CLK230K",4
"T2","MERCEDES BENZ","CLK240",13
"T2","MERCEDES BENZ","CLS",1
"T2","MERCEDES BENZ","CLS350",207
"T2","MERCEDES BENZ","CLS400",4
"T2","MERCEDES BENZ","CLS450",11
"T2","MERCEDES BENZ","E200",1393
"T2","MERCEDES BENZ","E200K",301
"T2","MERCEDES BENZ","E220",1
"T2","MERCEDES BENZ","E230",271
"T2","MERCEDES BENZ","E240",714
"T2","MERCEDES BENZ","E250",3419
"T2","MERCEDES BENZ","E280",53
"T2","MERCEDES BENZ","E300",896
"T2","MERCEDES BENZ","E350",449
"T2","MERCEDES BENZ","E400",8
"T2","MERCEDES BENZ","E450",1
"T2","MERCEDES BENZ","G350",26
"T2","MERCEDES BENZ","G55",1
"T2","MERCEDES BENZ","GLA180",166
"T2","MERCEDES BENZ","GLA200",210
"T2","MERCEDES BENZ","GLA220",27
"T2","MERCEDES BENZ","GLA250",500
"T2","MERCEDES BENZ","GLC200",49
"T2","MERCEDES BENZ","GLC250",1940
"T2","MERCEDES BENZ","GLC300",14
"T2","MERCEDES BENZ","GLE350",4
"T2","MERCEDES BENZ","GLE400",32
"T2","MERCEDES BENZ","GLE43",17
"T2","MERCEDES BENZ","GLE450",41
"T2","MERCEDES BENZ","GLE53",1
"T2","MERCEDES BENZ","GLS350",1
"T2","MERCEDES BENZ","ML350",55
"T2","MERCEDES BENZ","R280L",22
"T2","MERCEDES BENZ","R350",3
"T2","MERCEDES BENZ","R350L",12
"T2","MERCEDES BENZ","S280",53
"T2","MERCEDES BENZ","S300L",2
"T2","MERCEDES BENZ","S320L",10
"T2","MERCEDES BENZ","S350",98
"T2","MERCEDES BENZ","S350L",72
"T2","MERCEDES BENZ","S400L",1278
"T2","MERCEDES BENZ","S500",2
"T2","MERCEDES BENZ","S500L",11
"T2","MERCEDES BENZ","SL320",4
"T2","MERCEDES BENZ","SL350",56
"T2","MERCEDES BENZ","SL400",2
"T2","MERCEDES BENZ","SL55",13
"T2","MERCEDES BENZ","SLC180",4
"T2","MERCEDES BENZ","SLC200",17
"T2","MERCEDES BENZ","SLC300",10
"T2","MERCEDES BENZ","SLK200",211
"T2","MERCEDES BENZ","SLK200K",45
"T2","MERCEDES BENZ","SLK250",51
"T2","MERCEDES BENZ","SPRINTER",5
"T2","MERCEDES BENZ","V220",2
"T2","MERCEDES BENZ","VITO",20
"T2","MINI","CLUBMAN",41
"T2","MINI","COOPER",1702
"T2","MINI","COUNTRYMAN",124
"T2","MINI","CROSSOVER",2
"T2","MINI","ONE",76
"T2","MINI","PACEMAN",5
"T2","MITSUBISHI","AIRTREK",74
"T2","MITSUBISHI","ASX",2440
"T2","MITSUBISHI","ATTRAGE",482
"T2","MITSUBISHI","COLT",23
"T2","MITSUBISHI","DELICA",14
"T2","MITSUBISHI","FTO",9
"T2","MITSUBISHI","GRANDIS",608
"T2","MITSUBISHI","L200",51
"T2","MITSUBISHI","LANCER",1098
"T2","MITSUBISHI","MIRAGE",695
"T2","MITSUBISHI","OUTLANDER",2122
"T2","MITSUBISHI","PAJERO",1219
"T2","MITSUBISHI","STORM",8
"T2","MITSUBISHI","TRITON",5829
"T2","MITSUBISHI","WALD",18
"T2","MITSUBISHI","XPANDER",4739
"T2","MORRIS","COOPER",1
"T2","MORRIS","MORRIS",5
"T2","MUSTANG","MUSTANG",4
"T2","MZ MOTORRAD SDN BHD","E240",1
"T2","NAZA","206",2
"T2","NAZA","CITRA",3154
"T2","NAZA","FORTE",2345
"T2","NAZA","PICANTO",85
"T2","NAZA","RIA",1020
"T2","NAZA","SORENTO",125
"T2","NAZA","SURIA",342
"T2","NISSAN","370Z",3
"T2","NISSAN","ALMERA",9934
"T2","NISSAN","CEFIRO",371
"T2","NISSAN","ELGRAND",188
"T2","NISSAN","FRONTIER",818
"T2","NISSAN","GT-R",276
"T2","NISSAN","GTR",7
"T2","NISSAN","JUKE",56
"T2","NISSAN","LATIO",1298
"T2","NISSAN","MARCH",4
"T2","NISSAN","MURANO",272
"T2","NISSAN","NAVARA",3882
"T2","NISSAN","SENTRA",3126
"T2","NISSAN","SERENA",6723
"T2","NISSAN","SKYLINE",36
"T2","NISSAN","SUNNY",75
"T2","NISSAN","SYLPHY",2150
"T2","NISSAN","TEANA",2431
"T2","NISSAN","TERRANO",10
"T2","NISSAN","URVAN",292
"T2","NISSAN","VANETTE",2550
"T2","NISSAN","X-TRAIL",9818
"T2","OPEL","ZAFIRA",17
"T2","PERODUA","ALZA",24015
"T2","PERODUA","ARUZ",9189
"T2","PERODUA","ATIVA",10799
"T2","PERODUA","AXIA",53942
"T2","PERODUA","BEZZA",22761
"T2","PERODUA","KANCIL",26485
"T2","PERODUA","KELISA",14472
"T2","PERODUA","KEMBARA",3833
"T2","PERODUA","KENARI",8503
"T2","PERODUA","MYVI",108998
"T2","PERODUA","RUSA",349
"T2","PERODUA","VIVA",25292
"T2","PERODUA","WIRA",1
"T2","PEUGEOT","2008",391
"T2","PEUGEOT","207",274
"T2","PEUGEOT","208",835
"T2","PEUGEOT","3008",1736
"T2","PEUGEOT","306",7
"T2","PEUGEOT","308",621
"T2","PEUGEOT","407",181
"T2","PEUGEOT","408",706
"T2","PEUGEOT","5008",446
"T2","PEUGEOT","508",558
"T2","PEUGEOT","LANDTREK",12
"T2","PEUGEOT","RCZ",110
"T2","PEUGEOT","TRAVELLER",49
"T2","PORSCHE","718",422
"T2","PORSCHE","911",989
"T2","PORSCHE","BOXSTER",69
"T2","PORSCHE","CAYENNE",1616
"T2","PORSCHE","CAYMAN",432
"T2","PORSCHE","MACAN",997
"T2","PORSCHE","PANAMERA",445
"T2","PROTON","ARENA",375
"T2","PROTON","ERTIGA",1110
"T2","PROTON","EXORA",14592
"T2","PROTON","GEN-2",2
"T2","PROTON","GEN2",351
"T2","PROTON","INSPIRA",2212
"T2","PROTON","IRIZ",8238
"T2","PROTON","ISWARA",5169
"T2","PROTON","JUARA",137
"T2","PROTON","KANCIL",33
"T2","PROTON","KEMBARA",9
"T2","PROTON","PERDANA",2975
"T2","PROTON","PERSONA",20048
"T2","PROTON","PREVE",4194
"T2","PROTON","PUTRA",10
"T2","PROTON","SAGA",42121
"T2","PROTON","SATRIA",3294
"T2","PROTON","SAVVY",270
"T2","PROTON","TIARA",7
"T2","PROTON","WAJA",11170
"T2","PROTON","WIRA",24972
"T2","PROTON","X50",13143
"T2","PROTON","X70",16292
"T2","PROTON","X90",1026
"T2","RENAULT","CAPTUR",487
"T2","RENAULT","CLIO",25
"T2","RENAULT","FLUENCE",174
"T2","RENAULT","KANGOO",58
"T2","RENAULT","KOLEOS",86
"T2","RENAULT","MEGANE",46
"T2","ROLLS ROYCE","CULLINAN",10
"T2","ROLLS ROYCE","DAWN",3
"T2","ROLLS ROYCE","GHOST",88
"T2","ROLLS ROYCE","PHANTOM",3
"T2","ROLLS ROYCE","WRAITH",13
"T2","ROVER","DEFENDER",6
"T2","SMART","CITY",21
"T2","SMART","FORFOUR",47
"T2","SMART","FORTWO",41
"T2","SMART","ROADSTER",22
"T2","SSANGYONG","ACTYON",9
"T2","SSANGYONG","KYRON",1
"T2","SSANGYONG","STAVIC",91
"T2","SUBARU","BRZ",111
"T2","SUBARU","FORESTER",2640
"T2","SUBARU","IMPREZA",135
"T2","SUBARU","LEGACY",8
"T2","SUBARU","LEVORG",13
"T2","SUBARU","WRX",18
"T2","SUBARU","XV",2379
"T2","SUZUKI","ALTO",319
"T2","SUZUKI","APV",42
"T2","SUZUKI","JIMNY",531
"T2","SUZUKI","KIZASHI",27
"T2","SUZUKI","SJ410VR",8
"T2","SUZUKI","SWIFT",5379
"T2","SUZUKI","SX4",599
"T2","SUZUKI","VITARA",421
"T2","TESLA","3",6
"T2","TOYO UNPANKI","HARRIER",1
"T2","TOYOTA","86",455
"T2","TOYOTA","ALPHARD",15897
"T2","TOYOTA","AVANZA",12924
"T2","TOYOTA","C-HR",1526
"T2","TOYOTA","CALDINA",327
"T2","TOYOTA","CAMRY",17305
"T2","TOYOTA","CELICA",67
"T2","TOYOTA","COROLLA",2661
"T2","TOYOTA","CORONA",9
"T2","TOYOTA","CROWN",13
"T2","TOYOTA","DYNA",5
"T2","TOYOTA","ESQUIRE",3
"T2","TOYOTA","ESTIMA",13898
"T2","TOYOTA","FORTUNER",6938
"T2","TOYOTA","GR86",22
"T2","TOYOTA","GRANACE",31
"T2","TOYOTA","GS300",1
"T2","TOYOTA","HARRIER",8598
"T2","TOYOTA","HIACE",1294
"T2","TOYOTA","HILUX",31987
"T2","TOYOTA","INNOVA",13242
"T2","TOYOTA","IPSUM",31
"T2","TOYOTA","IS250",2
"T2","TOYOTA","LITEACE",199
"T2","TOYOTA","LS430",2
"T2","TOYOTA","MR-S",3
"T2","TOYOTA","NADIA",9
"T2","TOYOTA","NOAH",86
"T2","TOYOTA","ODYSSEY",3
"T2","TOYOTA","PREVIA",122
"T2","TOYOTA","PRIUS",2628
"T2","TOYOTA","RAV4",317
"T2","TOYOTA","ROOMY",6
"T2","TOYOTA","RUSH",3047
"T2","TOYOTA","RX270",3
"T2","TOYOTA","RX300",1
"T2","TOYOTA","RX450H",1
"T2","TOYOTA","SIENTA",947
"T2","TOYOTA","SPACIO",8
"T2","TOYOTA","SUPRA",78
"T2","TOYOTA","TANK",72
"T2","TOYOTA","UNSER",3921
